qubits,gate,gate_error,error_date,gate_length,length_date,name
[0],id,2.637776775901155e-05,2023-12-24T13:57+08:00,157.49046286984984,2023-12-24T13:57+08:00,id0
[1],id,7.656047837082593e-06,2023-12-24T13:57+08:00,154.83903636316413,2023-12-24T13:57+08:00,id1
[2],id,1.781529985870873e-05,2023-12-24T13:57+08:00,146.0505159741356,2023-12-24T13:57+08:00,id2
[3],id,4.4372121711536914e-05,2023-12-24T13:57+08:00,138.98573597790053,2023-12-24T13:57+08:00,id3
[4],id,4.12416014297392e-05,2023-12-24T13:57+08:00,136.90105637066335,2023-12-24T13:57+08:00,id4
[5],id,1.3905065884677313e-05,2023-12-24T13:57+08:00,145.16755755970726,2023-12-24T13:57+08:00,id5
[6],id,4.990108829332967e-05,2023-12-24T13:57+08:00,168.8688576981262,2023-12-24T13:57+08:00,id6
[7],id,4.65983506976135e-05,2023-12-24T13:57+08:00,121.80877846673701,2023-12-24T13:57+08:00,id7
[8],id,2.0405863613391346e-05,2023-12-24T13:57+08:00,149.93558943288363,2023-12-24T13:57+08:00,id8
[9],id,2.621126046986758e-05,2023-12-24T13:57+08:00,150.25092106713072,2023-12-24T13:57+08:00,id9
[10],id,2.1790229844922852e-05,2023-12-24T13:57+08:00,150.43725068143462,2023-12-24T13:57+08:00,id10
[11],id,1.996786614379526e-05,2023-12-24T13:57+08:00,133.84069044312068,2023-12-24T13:57+08:00,id11
[0],rx,6.171354218787686e-06,2023-12-24T13:57+08:00,153.6121886407427,2023-12-24T13:57+08:00,rx0
[1],rx,1.2382277400591209e-06,2023-12-24T13:57+08:00,143.09895427567886,2023-12-24T13:57+08:00,rx1
[2],rx,5.954777133689625e-05,2023-12-24T13:57+08:00,155.28331267073497,2023-12-24T13:57+08:00,rx2
[3],rx,1.6106748250417546e-05,2023-12-24T13:57+08:00,156.95464033414652,2023-12-24T13:57+08:00,rx3
[4],rx,3.3001323205228886e-06,2023-12-24T13:57+08:00,162.62418038367846,2023-12-24T13:57+08:00,rx4
[5],rx,9.433307200413427e-06,2023-12-24T13:57+08:00,136.7944831321379,2023-12-24T13:57+08:00,rx5
[6],rx,3.5432813384563915e-05,2023-12-24T13:57+08:00,128.81901311937472,2023-12-24T13:57+08:00,rx6
[7],rx,3.4018803248292626e-05,2023-12-24T13:57+08:00,148.6024933348634,2023-12-24T13:57+08:00,rx7
[8],rx,2.0676749951034823e-05,2023-12-24T13:57+08:00,159.36244024667099,2023-12-24T13:57+08:00,rx8
[9],rx,1.4047368062247248e-05,2023-12-24T13:57+08:00,148.07266876992776,2023-12-24T13:57+08:00,rx9
[10],rx,2.277475071093661e-05,2023-12-24T13:57+08:00,164.88419025889016,2023-12-24T13:57+08:00,rx10
[11],rx,3.8162325882342146e-05,2023-12-24T13:57+08:00,138.02458477192096,2023-12-24T13:57+08:00,rx11
[0],ry,4.126038680367664e-05,2023-12-24T13:57+08:00,135.04067740655108,2023-12-24T13:57+08:00,ry0
[1],ry,1.8684009612451737e-05,2023-12-24T13:57+08:00,136.92708597946321,2023-12-24T13:57+08:00,ry1
[2],ry,1.976079376955455e-05,2023-12-24T13:57+08:00,154.20679275872382,2023-12-24T13:57+08:00,ry2
[3],ry,9.12871800429941e-06,2023-12-24T13:57+08:00,161.16187207561612,2023-12-24T13:57+08:00,ry3
[4],ry,1.2871862302948063e-05,2023-12-24T13:57+08:00,150.31293355811025,2023-12-24T13:57+08:00,ry4
[5],ry,3.434368175291953e-05,2023-12-24T13:57+08:00,138.59313235906262,2023-12-24T13:57+08:00,ry5
[6],ry,1.618474838038624e-05,2023-12-24T13:57+08:00,147.37378580935774,2023-12-24T13:57+08:00,ry6
[7],ry,1.0422835404698021e-05,2023-12-24T13:57+08:00,139.0043999338145,2023-12-24T13:57+08:00,ry7
[8],ry,2.5386465336713072e-05,2023-12-24T13:57+08:00,143.76894461013953,2023-12-24T13:57+08:00,ry8
[9],ry,5.353857373371057e-06,2023-12-24T13:57+08:00,155.85800353269235,2023-12-24T13:57+08:00,ry9
[10],ry,1.6879272102379076e-05,2023-12-24T13:57+08:00,170.0350052679937,2023-12-24T13:57+08:00,ry10
[11],ry,1.8494424306176213e-05,2023-12-24T13:57+08:00,157.53568108317063,2023-12-24T13:57+08:00,ry11
"[0,1]",cz,0.0036691085091551286,2023-12-24T13:57+08:00,137.4623389010015,2023-12-24T13:57+08:00,cz0_1
"[0,2]",cz,0.001728365367297317,2023-12-24T13:57+08:00,161.71636384798205,2023-12-24T13:57+08:00,cz0_2
"[0,3]",cz,0.002035150686054203,2023-12-24T13:57+08:00,148.69387519925777,2023-12-24T13:57+08:00,cz0_3
"[0,4]",cz,0.0011724873235061965,2023-12-24T13:57+08:00,152.20781981271602,2023-12-24T13:57+08:00,cz0_4
"[0,5]",cz,0.0025789173475350194,2023-12-24T13:57+08:00,163.46144385672028,2023-12-24T13:57+08:00,cz0_5
"[0,6]",cz,0.0013584203898782173,2023-12-24T13:57+08:00,150.24604924239654,2023-12-24T13:57+08:00,cz0_6
"[0,7]",cz,0.0017427973582264764,2023-12-24T13:57+08:00,153.38457588118274,2023-12-24T13:57+08:00,cz0_7
"[0,8]",cz,0.0009916524862354202,2023-12-24T13:57+08:00,145.3780091952353,2023-12-24T13:57+08:00,cz0_8
"[0,9]",cz,0.0030251540624605905,2023-12-24T13:57+08:00,159.98564179975926,2023-12-24T13:57+08:00,cz0_9
"[0,10]",cz,0.0014293631834188885,2023-12-24T13:57+08:00,147.48157320775286,2023-12-24T13:57+08:00,cz0_10
"[0,11]",cz,0.0005682700389870569,2023-12-24T13:57+08:00,139.47941388650239,2023-12-24T13:57+08:00,cz0_11
"[1,0]",cz,0.003910787798419831,2023-12-24T13:57+08:00,172.89047414962863,2023-12-24T13:57+08:00,cz1_0
"[1,2]",cz,0.0011859969569603314,2023-12-24T13:57+08:00,159.52276886546304,2023-12-24T13:57+08:00,cz1_2
"[1,3]",cz,0.002614001925884949,2023-12-24T13:57+08:00,145.78704072059335,2023-12-24T13:57+08:00,cz1_3
"[1,4]",cz,0.0006711696107012133,2023-12-24T13:57+08:00,148.65265969875,2023-12-24T13:57+08:00,cz1_4
"[1,5]",cz,0.0011425234728958513,2023-12-24T13:57+08:00,143.61415969773054,2023-12-24T13:57+08:00,cz1_5
"[1,6]",cz,0.003531943320503447,2023-12-24T13:57+08:00,134.6037512746351,2023-12-24T13:57+08:00,cz1_6
"[1,7]",cz,0.0019846406312969606,2023-12-24T13:57+08:00,167.53599951202145,2023-12-24T13:57+08:00,cz1_7
"[1,8]",cz,0.0007048181916642673,2023-12-24T13:57+08:00,144.33928093593818,2023-12-24T13:57+08:00,cz1_8
"[1,9]",cz,0.00020064024573782316,2023-12-24T13:57+08:00,155.27143335855365,2023-12-24T13:57+08:00,cz1_9
"[1,10]",cz,0.002075242835493055,2023-12-24T13:57+08:00,153.55174778496783,2023-12-24T13:57+08:00,cz1_10
"[1,11]",cz,0.0032463682159304436,2023-12-24T13:57+08:00,156.38426064655275,2023-12-24T13:57+08:00,cz1_11
"[2,0]",cz,0.0002421303707546901,2023-12-24T13:57+08:00,164.6416671066096,2023-12-24T13:57+08:00,cz2_0
"[2,1]",cz,0.0005160330694168191,2023-12-24T13:57+08:00,135.61564251678462,2023-12-24T13:57+08:00,cz2_1
"[2,3]",cz,0.0015409124138885811,2023-12-24T13:57+08:00,140.10509522158097,2023-12-24T13:57+08:00,cz2_3
"[2,4]",cz,8.810919150573652e-07,2023-12-24T13:57+08:00,150.47945403422258,2023-12-24T13:57+08:00,cz2_4
"[2,5]",cz,0.0005392754423228772,2023-12-24T13:57+08:00,135.27387757531014,2023-12-24T13:57+08:00,cz2_5
"[2,6]",cz,0.0010022660883640497,2023-12-24T13:57+08:00,145.0359735599098,2023-12-24T13:57+08:00,cz2_6
